연도,시도,시군구,계약종별,1월,2월,3월,4월
2023,서울특별시,구로구,주택용,55829008,53637489,46178684,46936329
2023,서울특별시,구로구,일반용,89413166,80266398,67338381,62720388
2023,서울특별시,구로구,교육용,5053344,4108604,3282878,2615469
2023,서울특별시,구로구,산업용,33320926,31525826,25452390,25263432
2023,서울특별시,구로구,농사용,64856,60780,46642,49523
2023,서울특별시,구로구,가로등,955162,904725,844822,799975
2023,서울특별시,구로구,심 야,542997,547977,416168,294976
2023,서울특별시,구로구,합 계,185179459,171051799,143559965,138680092
2023,서울특별시,영등포구,주택용,58381407,55299629,48007055,48161982
2023,서울특별시,영등포구,일반용,171734785,154888795,135757270,126032298
2023,서울특별시,영등포구,교육용,4071099,3159881,2389727,1978444
2023,서울특별시,영등포구,산업용,19886668,18385271,17798658,17166863
2023,서울특별시,영등포구,농사용,3458,3479,2248,1653
2023,서울특별시,영등포구,가로등,1310546,1239896,1146137,1123302
2023,서울특별시,영등포구,심 야,1754825,1710008,2160192,3004627
2023,서울특별시,영등포구,합 계,257142788,234686959,207261287,197469169
2023,서울특별시,동작구,주택용,49133418,47910526,40526314,41992803
2023,서울특별시,동작구,일반용,55535250,51742104,42289679,40308883
2023,서울특별시,동작구,교육용,10273705,8625695,6981033,5580365
2023,서울특별시,동작구,산업용,4565981,4280415,4218155,4342192
2023,서울특별시,동작구,농사용,27889,27840,24791,27856
2023,서울특별시,동작구,가로등,699099,643802,588133,564214
2023,서울특별시,동작구,심 야,725590,681431,442835,284855
2023,서울특별시,동작구,합 계,120960932,113911813,95070940,93101168
2023,서울특별시,관악구,주택용,60279203,58663772,49315165,51144488
2023,서울특별시,관악구,일반용,74299173,69980082,57576190,55826394
2023,서울특별시,관악구,교육용,25050960,23310503,18473676,16437853
2023,서울특별시,관악구,산업용,3583656,3391630,2932754,2920671
2023,서울특별시,관악구,농사용,14831,10727,8531,7382
2023,서울특별시,관악구,가로등,1047354,1003176,883525,900697
2023,서울특별시,관악구,심 야,780828,760269,573570,438491
2023,서울특별시,관악구,합 계,165056005,157120159,129763411,127675976
2023,서울특별시,강남구,주택용,85306751,79633899,71560236,71310160
2023,서울특별시,강남구,일반용,352710371,323440779,261408490,235931163
2023,서울특별시,강남구,교육용,6876004,5854317,4507788,3734234
2023,서울특별시,강남구,산업용,29823869,26962107,23186380,21163816
2023,서울특별시,강남구,농사용,149154,138448,106845,93004
2023,서울특별시,강남구,가로등,1771798,1635140,1457486,1419899
2023,서울특별시,강남구,심 야,1426854,1501178,1306834,1657192
2023,서울특별시,강남구,합 계,478064801,439165868,363534059,335309468
2023,서울특별시,강동구,주택용,59327220,57270873,48614298,49976523
2023,서울특별시,강동구,일반용,79687643,73026212,59011506,54373014
2023,서울특별시,강동구,교육용,5003044,4122803,3078744,2526468
2023,서울특별시,강동구,산업용,13985560,12515736,13122280,13048547
2023,서울특별시,강동구,농사용,259841,240121,146425,117768
2023,서울특별시,강동구,가로등,916204,839524,741517,712822
2023,서울특별시,강동구,심 야,376914,353378,251706,196281
2023,서울특별시,강동구,합 계,159556426,148368647,124966476,120951423
2023,서울특별시,송파구,주택용,87546499,84826795,72143613,74623542
2023,서울특별시,송파구,일반용,154611299,140074663,117941650,111802345
2023,서울특별시,송파구,교육용,9166950,7440758,5921822,5004659
2023,서울특별시,송파구,산업용,18536413,17086601,16439635,16674395
2023,서울특별시,송파구,농사용,306773,240639,199075,192745
2023,서울특별시,송파구,가로등,1685187,1648910,1415407,1390433
2023,서울특별시,송파구,심 야,1020180,887840,636962,1269301
2023,서울특별시,송파구,합 계,272873301,252206206,214698164,210957420
2023,서울특별시,중랑구,주택용,49811330,47746845,40800747,41514241
2023,서울특별시,중랑구,일반용,50669985,46839362,37020747,34600065
2023,서울특별시,중랑구,교육용,4779275,3782420,2747882,2275392
2023,서울특별시,중랑구,산업용,7164304,6752886,5558890,5212647
2023,서울특별시,중랑구,농사용,45631,43118,27641,24031
2023,서울특별시,중랑구,가로등,1055037,973531,926855,859963
2023,서울특별시,중랑구,심 야,394882,386985,283803,211108
2023,서울특별시,중랑구,합 계,113920444,106525147,87366565,84697447
2023,서울특별시,노원구,주택용,62341044,60150681,51080467,52559543
2023,서울특별시,노원구,일반용,63607579,58383185,47241147,43909138
2023,서울특별시,노원구,교육용,16510485,13063147,10640816,8911012
2023,서울특별시,노원구,산업용,8759378,5908106,5583128,5312250
2023,서울특별시,노원구,농사용,64003,56894,47613,45243
2023,서울특별시,노원구,가로등,1119879,1081276,1009579,972328
2023,서울특별시,노원구,심 야,861871,795329,540169,351176
2023,서울특별시,노원구,합 계,153264239,139438618,116142919,112060690
2023,서울특별시,서초구,주택용,62617837,59441635,52590081,53612975
2023,서울특별시,서초구,일반용,206504629,191071316,155505342,144123358
2023,서울특별시,서초구,교육용,7034737,5665263,4456165,3880734
2023,서울특별시,서초구,산업용,37903296,36900817,32239328,32569746
2023,서울특별시,서초구,농사용,963784,871439,664318,525461
2023,서울특별시,서초구,가로등,1869218,1722293,1542178,1731188
2023,서울특별시,서초구,심 야,745854,713091,545018,605668
2023,서울특별시,서초구,합 계,317639355,296385854,247542430,237049130
2023,서울특별시,양천구,주택용,58205784,56397035,48490493,49695460
2023,서울특별시,양천구,일반용,91682822,87144792,79264721,75239104
2023,서울특별시,양천구,교육용,5594516,4112544,3213973,2907134
2023,서울특별시,양천구,산업용,4992516,3986427,3208638,3414776
2023,서울특별시,양천구,농사용,17932,15524,11396,12120
2023,서울특별시,양천구,가로등,1086299,1035367,912498,896844
2023,서울특별시,양천구,심 야,998402,624363,258659,222274
2023,서울특별시,양천구,합 계,162578271,153316052,135360378,132387712
2023,서울특별시,광진구,주택용,44265606,42632305,35979523,36965697
2023,서울특별시,광진구,일반용,63919461,58861811,46728929,44232628
2023,서울특별시,광진구,교육용,9241735,7800340,6773522,5516295
2023,서울특별시,광진구,산업용,31748101,30420608,26252197,26902927
2023,서울특별시,광진구,농사용,32239,31605,25757,26840
2023,서울특별시,광진구,가로등,823513,768672,729230,672226
2023,서울특별시,광진구,심 야,735692,685496,489949,478246
2023,서울특별시,광진구,합 계,150766347,141200837,116979107,114794859
2023,서울특별시,강북구,주택용,37600929,36607748,30483170,31399869
2023,서울특별시,강북구,일반용,44137607,40372150,31644391,29379676
